Latitude,Longitude,CropType,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12
46.311628647058825,-63.69824947058824,22,"Barley",75,60,63,45,88,154,178,188,211,63,1,94,48
46.31190315686275,-63.69852398039216,21,"Barley",75,60,62,46,90,155,182,187,213,61,1,97,50
46.31190315686275,-63.69824947058824,21,"Barley",75,60,61,46,88,151,177,182,208,61,1,96,50
46.313275705882354,-63.700720058823535,33,"Barley",77,59,61,43,85,165,187,180,220,62,1,102,51
46.313275705882354,-63.70044554901961,34,"Barley",77,60,62,44,87,162,188,190,216,62,1,101,52
46.31355021568628,-63.700720058823535,14,"Barley",79,59,60,39,84,173,211,210,234,64,1,107,51
46.31355021568628,-63.70044554901961,17,"Barley",79,60,62,41,85,167,198,195,226,64,1,101,50
46.3138247254902,-63.700720058823535,35,"Barley",79,84,82,82,85,136,169,118,171,64,1,123,72
46.31464825490196,-63.69495535294118,22,"Barley",74,59,59,45,87,143,167,170,194,58,1,94,51
46.31464825490196,-63.694680843137256,33,"Barley",74,59,59,44,86,144,170,172,197,58,1,92,50
46.314922764705884,-63.69495535294118,11,"Barley",74,60,60,45,85,144,167,170,194,58,1,95,53
46.314922764705884,-63.694680843137256,26,"Barley",74,59,59,45,87,145,169,173,196,58,1,93,52
46.315197274509806,-63.697425941176476,29,"Potato",76,60,57,44,71,175,215,215,235,73,1,131,58
46.315197274509806,-63.69715143137255,21,"Potato",74,54,51,28,64,196,235,235,237,67,1,112,48
46.31547178431373,-63.697425941176476,25,"Potato",76,59,58,41,72,196,235,221,237,73,1,131,58
46.31547178431373,-63.69715143137255,14,"Potato",74,54,50,29,65,189,233,232,236,67,1,112,50
46.31602080392157,-63.68919064705883,32,"Potato",73,54,52,28,63,172,221,235,235,64,1,97,43
46.31629531372549,-63.689465156862745,21,"Potato",77,65,64,51,82,192,235,220,236,71,1,123,60
46.31629531372549,-63.68919064705883,10,"Potato",76,67,67,53,77,193,230,198,236,65,1,120,57
46.31656982352941,-63.68919064705883,33,"Potato",76,57,60,31,75,221,238,238,240,65,1,124,54
