Latitude,Longitude,Distance,CropType,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12
43.43016788235295,-81.55867188235295,23,"Soybean",87,64,50,31,52,129,163,108,193,49,1,85,33
43.43016788235295,-81.55839737254902,23,"Soybean",87,65,55,33,54,146,183,178,206,46,1,90,38
43.43016788235295,-81.52792678431373,35,"Soybean",87,66,56,34,54,170,221,215,235,57,1,73,29
43.43016788235295,-81.52765227450982,25,"Soybean",87,65,56,33,54,168,222,216,235,57,1,74,28
43.43044239215687,-81.52161305882353,32,"Corn",85,64,56,32,59,233,240,240,242,81,1,140,57
43.43044239215687,-81.52133854901962,30,"Corn",85,64,56,32,58,232,240,240,242,79,1,136,56
43.43071690196079,-81.52161305882353,17,"Corn",85,63,55,32,57,226,240,239,242,81,1,135,54
43.43071690196079,-81.52133854901962,14,"Corn",85,63,54,31,56,224,240,238,242,79,1,133,53
43.43263847058824,-81.5301228627451,29,"Soybean",85,63,54,32,58,162,203,201,220,54,1,93,37
43.43263847058824,-81.52984835294119,16,"Soybean",85,63,53,31,53,151,187,170,204,54,1,85,34
43.43291298039216,-81.5301228627451,30,"Soybean",85,64,55,34,56,147,182,177,207,54,1,98,39
43.43291298039216,-81.52984835294119,17,"Soybean",85,63,55,33,57,156,193,185,217,54,1,98,41
43.434285529411774,-81.52271109803922,31,"Corn",72,52,49,26,45,193,238,238,240,54,1,99,39
43.434285529411774,-81.52243658823531,10,"Corn",75,55,50,33,46,171,237,236,238,42,1,99,44
43.434285529411774,-81.52216207843138,34,"Corn",75,53,48,32,46,167,236,233,237,42,1,97,42
43.43456003921569,-81.52243658823531,20,"Corn",70,52,45,25,39,173,237,236,239,49,1,89,33
43.52185415686275,-81.51996600000001,34,"Barley",76,70,68,73,69,148,208,161,219,42,1,136,74
43.52267768627451,-81.51996600000001,35,"Barley",69,53,48,27,43,183,238,237,239,50,0,92,34
43.54216788235295,-81.52188756862746,35,"Wheat - Winter",71,51,44,23,45,234,242,242,244,61,1,126,49
43.54216788235295,-81.52161305882353,20,"Wheat - Winter",71,51,43,23,47,205,238,242,240,61,1,109,45
43.54244239215687,-81.52188756862746,31,"Wheat - Winter",71,51,44,24,49,215,240,240,241,61,1,122,47
43.54244239215687,-81.52161305882353,11,"Wheat - Winter",71,55,52,30,50,169,230,195,237,61,1,105,44
43.54244239215687,-81.52133854901962,34,"Wheat - Winter",72,55,46,30,55,159,206,126,229,57,1,101,42
43.54436396078432,-81.52216207843138,28,"Wheat - Winter",71,49,41,23,43,187,237,238,239,61,1,110,43
43.54436396078432,-81.52188756862746,27,"Wheat - Winter",71,50,40,25,45,186,237,195,236,63,1,106,41
